,date,temperature,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,bpm
168,2022-02-05,-2.978496090198219,72,19,18,35,72,59,0.06826801517067,72.97830374753451
169,2022-02-05,-2.978496090198219,72,19,18,35,72,59,0.06826801517067,69.16365114860744
170,2021-12-20,-2.6894677495291908,79,21,21,37,80,63,0.1226330027051397,70.7034115920763
171,2021-12-20,-2.6894677495291908,79,21,21,37,80,63,0.1226330027051397,55.80964467005076
172,2022-05-18,-2.789927080226658,74,21,14,39,113,50,0.0672645739910313,72.45997745208568
173,2022-05-18,-2.789927080226658,74,21,14,39,113,50,0.0672645739910313,76.03658656204021
174,2022-02-11,-3.0153819821996684,82,21,21,40,80,60,0.0887465690759377,70.44346661564951
175,2022-02-11,-3.0153819821996684,82,21,21,40,80,60,0.0887465690759377,67.90927835051546
176,2022-05-19,-2.4692896622464304,72,22,11,39,85,53,0.1086323957322987,69.6795920330992
177,2022-05-19,-2.4692896622464304,72,22,11,39,85,53,0.1086323957322987,63.071657754010694
178,2022-02-10,-2.7558224894283834,83,22,22,39,101,61,0.0654307524536532,62.85774946921444
179,2022-02-10,-2.7558224894283834,83,22,22,39,101,61,0.0654307524536532,66.68275346053125
180,2022-02-04,-2.2539792922268593,73,19,18,36,96,59,0.0658616904500548,65.98391420911528
181,2022-02-04,-2.2539792922268593,73,19,18,36,96,59,0.0658616904500548,72.0693935875681
182,2021-12-21,-1.555367154811716,78,20,21,37,74,62,0.0878306878306878,66.94918699186992
183,2021-12-21,-1.555367154811716,78,20,21,37,74,62,0.0878306878306878,70.71473693709954
184,2022-05-25,-2.300167159591737,77,18,20,39,79,56,0.0666666666666666,75.38487378827142
185,2022-05-25,-2.300167159591737,77,18,20,39,79,56,0.0666666666666666,65.75565610859728
186,2022-05-31,0.18108276486460248,79,20,18,41,90,55,0.067127344521224,59.6306023408507
187,2021-12-25,-2.185402821793334,82,21,22,39,73,61,0.0747889022919179,81.72464017926399
188,2021-12-25,-2.185402821793334,82,21,22,39,73,61,0.0747889022919179,65.26077097505669
189,2022-05-09,-3.090023847376788,78,21,16,41,66,55,0.0908152734778121,68.52211630123928
190,2022-05-09,-3.090023847376788,78,21,16,41,66,55,0.0908152734778121,58.89060773480663
191,2022-02-14,-2.1149066299489494,72,18,19,35,76,58,0.0842639593908629,57.22117647058823
192,2022-02-14,-2.1149066299489494,72,18,19,35,76,58,0.0842639593908629,65.49036645258784
193,2021-12-31,-2.3260636830627828,88,22,20,46,86,61,0.0520930232558139,74.27920792079208
194,2021-12-31,-2.3260636830627828,88,22,20,46,86,61,0.0520930232558139,69.89433892679328
195,2021-12-19,-2.2838700031476247,71,21,15,35,80,61,0.0821917808219178,71.83017163504968
196,2021-12-19,-2.2838700031476247,71,21,15,35,80,61,0.0821917808219178,59.93197278911565
